Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,CreateCacheFileforTargetVsCompletesCharts,Start
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,GetQuarterAndYear,Start
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,GetQuarterAndYear,End 
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,GetQuarterAndYear,Start
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,GetQuarterAndYear,End 
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,CreateCacheFileforTargetVsCompletesCharts,Retrieving all Targets and Completes for the Airport login -1
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,Start for LoginId -1
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,TargetVsCompletes Charts cache file for AirportLoginId- 1
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteToFile,Start
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteToFile,END
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,End for LoginId -1
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteMissingTargetsVsBusinessClassChartCacheFile,Start for LoginId -1
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteMissingTargetsVsBusinessClassChartCacheFile,MissingTargetsVsBusinessClass Charts cache file for AirportLoginId- 1
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteToFile,Start
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteToFile,END
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteMissingTargetsVsBusinessClassChartCacheFile,End for LoginId -1
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,CreateCacheFileforTargetVsCompletesCharts,Retrieving all Targets and Completes for the Airport login -2
Information , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,Start for LoginId -2
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,TargetVsCompletes Charts cache file for AirportLoginId- 2
Verbose , 8/29/2016 2:43:52 PM , CacheFileBusiness,WriteToFile,Start
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteToFile,END
Information , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,End for LoginId -2
Information , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteMissingTargetsVsBusinessClassChartCacheFile,Start for LoginId -2
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteMissingTargetsVsBusinessClassChartCacheFile,MissingTargetsVsBusinessClass Charts cache file for AirportLoginId- 2
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteToFile,Start
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteToFile,END
Information , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteMissingTargetsVsBusinessClassChartCacheFile,End for LoginId -2
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,CreateCacheFileforTargetVsCompletesCharts,Retrieving all Targets and Completes for the Airport login -3
Information , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,Start for LoginId -3
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,TargetVsCompletes Charts cache file for AirportLoginId- 3
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteToFile,Start
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteToFile,END
Information , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteTargetVsCompletesChartsCacheFile,End for LoginId -3
Information , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteMissingTargetsVsBusinessClassChartCacheFile,Start for LoginId -3
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteMissingTargetsVsBusinessClassChartCacheFile,MissingTargetsVsBusinessClass Charts cache file for AirportLoginId- 3
Verbose , 8/29/2016 2:43:53 PM , CacheFileBusiness,WriteToFile,Start
