Login_page,Class,Status,DOD,Last_update_date
4086720,Economy,complete,7/12/2016 12:00:00 AM,
3798250,Premium Economy,complete,7/13/2016 12:00:00 AM,
3236377,Economy,complete,7/13/2016 12:00:00 AM,
3944373,Economy,complete,7/13/2016 12:00:00 AM,
3167096,Economy,complete,7/13/2016 12:00:00 AM,
3946194,Economy,complete,7/13/2016 12:00:00 AM,
2804417,Business,complete,7/13/2016 12:00:00 AM,
3885427,Business,complete,7/13/2016 12:00:00 AM,
3987501,Premium Economy,complete,7/13/2016 12:00:00 AM,
3236341,Economy,complete,7/13/2016 12:00:00 AM,
3389610,Economy,complete,7/13/2016 12:00:00 AM,
3941971,Economy,complete,7/13/2016 12:00:00 AM,
3498329,Economy,complete,7/13/2016 12:00:00 AM,
3945531,Economy,complete,7/13/2016 12:00:00 AM,
4059110,Economy,complete,7/13/2016 12:00:00 AM,
3967763,Premium Economy,complete,7/13/2016 12:00:00 AM,
2122483,Economy,complete,7/13/2016 12:00:00 AM,
2693513,Business,complete,7/13/2016 12:00:00 AM,
3059887,Business,complete,7/13/2016 12:00:00 AM,
3389641,Economy,complete,7/13/2016 12:00:00 AM,
3977455,Premium Economy,complete,7/13/2016 12:00:00 AM,
3571820,Business,complete,7/13/2016 12:00:00 AM,
3659434,Economy,complete,7/13/2016 12:00:00 AM,
3498118,Economy,complete,7/13/2016 12:00:00 AM,
3966628,Economy,complete,7/14/2016 12:00:00 AM,
3505987,Premium Economy,complete,7/13/2016 12:00:00 AM,
3880755,Economy,complete,7/13/2016 12:00:00 AM,
3169029,Economy,complete,7/13/2016 12:00:00 AM,
4066340,Premium Economy,complete,7/13/2016 12:00:00 AM,
3943070,Economy,complete,7/13/2016 12:00:00 AM,
3505988,Premium Economy,complete,7/13/2016 12:00:00 AM,
3573220,Economy,complete,7/13/2016 12:00:00 AM,
3945522,Business,complete,7/13/2016 12:00:00 AM,
3841730,Economy,complete,7/13/2016 12:00:00 AM,
3877088,Economy,complete,7/13/2016 12:00:00 AM,
3941988,Premium Economy,complete,7/13/2016 12:00:00 AM,
3942732,Economy,complete,7/13/2016 12:00:00 AM,
3359987,Economy,complete,7/13/2016 12:00:00 AM,
3495252,Business,complete,7/13/2016 12:00:00 AM,
4312594,Economy,complete,7/13/2016 12:00:00 AM,
3217289,Business,complete,7/13/2016 12:00:00 AM,
3945955,Economy,complete,7/13/2016 12:00:00 AM,
2838924,Business,complete,7/13/2016 12:00:00 AM,
2691743,Economy,complete,7/13/2016 12:00:00 AM,
4059009,Business,complete,7/13/2016 12:00:00 AM,
3981607,Business,complete,7/13/2016 12:00:00 AM,
3978186,Economy,complete,7/13/2016 12:00:00 AM,
4057725,Premium Economy,complete,7/13/2016 12:00:00 AM,
3876191,Business,complete,7/13/2016 12:00:00 AM,
3167119,Economy,complete,7/13/2016 12:00:00 AM,
4057674,Economy,complete,7/13/2016 12:00:00 AM,
3389568,Economy,complete,7/13/2016 12:00:00 AM,
3659916,Economy,complete,7/13/2016 12:00:00 AM,
3526153,Premium Economy,complete,7/13/2016 12:00:00 AM,
4066335,Economy,complete,7/13/2016 12:00:00 AM,
3960835,Economy,complete,7/13/2016 12:00:00 AM,
3931449,Economy,complete,7/13/2016 12:00:00 AM,
3942972,Economy,complete,7/13/2016 12:00:00 AM,
3942547,Business,complete,7/13/2016 12:00:00 AM,
3481789,Business,complete,7/13/2016 12:00:00 AM,
3943488,Economy,complete,7/13/2016 12:00:00 AM,
2730975,Business,complete,7/13/2016 12:00:00 AM,
3943086,Economy,complete,7/13/2016 12:00:00 AM,
3991100,Business,complete,7/13/2016 12:00:00 AM,
3926328,Economy,complete,7/13/2016 12:00:00 AM,
3841728,Business,complete,7/13/2016 12:00:00 AM,
3981954,Economy,complete,7/13/2016 12:00:00 AM,
267183,Economy,complete,7/13/2016 12:00:00 AM,
4019701,Business,complete,7/13/2016 12:00:00 AM,
3926318,Business,complete,7/13/2016 12:00:00 AM,
3167195,Business,complete,7/13/2016 12:00:00 AM,
4019700,Business,complete,7/13/2016 12:00:00 AM,
2122466,Premium Economy,complete,7/13/2016 12:00:00 AM,
4000410,Economy,complete,7/13/2016 12:00:00 AM,
3943098,Business,complete,7/13/2016 12:00:00 AM,
2121517,Premium Economy,complete,7/13/2016 12:00:00 AM,
3943107,Economy,complete,7/13/2016 12:00:00 AM,
3998544,Business,complete,7/13/2016 12:00:00 AM,
3508205,Economy,complete,7/13/2016 12:00:00 AM,
3459261,Economy,complete,7/13/2016 12:00:00 AM,
2073640,Economy,complete,7/13/2016 12:00:00 AM,
3389005,Economy,complete,7/13/2016 12:00:00 AM,
3880934,Economy,complete,7/13/2016 12:00:00 AM,
3102372,Economy,complete,7/13/2016 12:00:00 AM,
3987606,Premium Economy,complete,7/13/2016 12:00:00 AM,
3967765,Premium Economy,complete,7/13/2016 12:00:00 AM,
3998535,Business,complete,7/13/2016 12:00:00 AM,
3989609,Economy,complete,7/13/2016 12:00:00 AM,
2689914,Business,complete,7/13/2016 12:00:00 AM,
3998525,Premium Economy,complete,7/13/2016 12:00:00 AM,
4542571,Business,complete,7/13/2016 12:00:00 AM,
3987640,Business,complete,7/13/2016 12:00:00 AM,
3236370,Economy,complete,7/13/2016 12:00:00 AM,
2122230,Economy,complete,7/13/2016 12:00:00 AM,
3166418,Business,complete,7/13/2016 12:00:00 AM,
3999841,Business,complete,7/13/2016 12:00:00 AM,
2838953,Economy,complete,7/13/2016 12:00:00 AM,
3481051,Economy,complete,7/13/2016 12:00:00 AM,
4017171,Business,complete,7/13/2016 12:00:00 AM,
2693518,Business,complete,7/13/2016 12:00:00 AM,
3799256,Premium Economy,complete,7/13/2016 12:00:00 AM,
4010324,Business,complete,7/13/2016 12:00:00 AM,
3991445,Economy,complete,7/13/2016 12:00:00 AM,
3481050,Economy,complete,7/13/2016 12:00:00 AM,
3059902,Economy,complete,7/13/2016 12:00:00 AM,
3498835,Economy,complete,7/13/2016 12:00:00 AM,
4086705,Economy,complete,7/13/2016 12:00:00 AM,
3389732,Economy,complete,7/13/2016 12:00:00 AM,
3999126,Economy,complete,7/13/2016 12:00:00 AM,
3885144,Economy,complete,7/13/2016 12:00:00 AM,
3991452,Business,complete,7/13/2016 12:00:00 AM,
3993536,Economy,complete,7/13/2016 12:00:00 AM,
4012388,Premium Economy,complete,7/13/2016 12:00:00 AM,
3885905,Economy,complete,7/13/2016 12:00:00 AM,
